"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","1","2","3","1","2","3"
"1",1e-06,15675.2222595922,3716.36487621387,11958.8573833784,9956.19084781744,4164.90193973168,5791.28890808576,25631.4131074097,7881.26681594555,17750.1462914642,0.714166666666662,0.285833333333339,0,0.714166166666666,0.285833833333339,0,4.9999999996434e-07,5.00000000093193e-07,0
"2",0.001,15676.2816156305,3716.36487621387,11959.9167394166,9956.19084781744,4164.90193973168,5791.28890808576,25632.4724634479,7881.26681594555,17751.2056475024,0.714166666666662,0.285833333333339,0,0.713666666666666,0.286333333333339,0,0.000500000000000007,0.000500000000000084,0
"3",0.01,15685.8186702531,3719.89552390149,11965.9231463516,9956.19084781338,4164.90193973158,5791.28890808181,25642.0095180665,7884.79746363307,17757.2120544334,0.715833333333323,0.284166666666679,0,0.710833333333327,0.289166666666678,0,0.00499999999999996,0.00500000000000013,0
"4",0.025,15701.6393169977,3730.44096503939,11971.1983519583,9970.66907008765,4179.38016200189,5791.28890808576,25672.3083870853,7909.82112704128,17762.4872600441,0.720833333333333,0.279166666666667,0,0.708333333333333,0.291666666666667,0,0.0125,0.0125,0
"5",0.04,15717.382069958,3740.9360117576,11976.4460582005,9994.79944053801,4203.51053245228,5791.28890808572,25712.181510496,7944.44654420988,17767.7349662862,0.725833333333333,0.274166666666667,0,0.705833333333333,0.294166666666667,0,0.02,0.02,0
"6",0.055,15732.9702586399,3744.38822198166,11988.5820366583,10004.4515887181,4213.16268063239,5791.28890808576,25737.4218473581,7957.55090261404,17779.870944744,0.7275,0.2725,0,0.7,0.3,0,0.0275,0.0275,0
"7",0.07,15748.4129109458,3751.25204390476,11997.1608670411,10023.7558850745,4232.46697699271,5791.28890808175,25772.1687960202,7983.71902089746,17788.4497751228,0.730833333333334,0.269166666666666,0,0.695833333333331,0.304166666666666,0,0.035,0.0350000000000001,0
"8",0.085,15763.6936610709,3754.66811988442,12009.0255411865,10033.4080332586,4242.11912517282,5791.28890808576,25797.1016943295,7996.78724505724,17800.3144492723,0.7325,0.2675,0,0.689999999999997,0.31,0,0.0424999999999999,0.0425000000000001,0
"9",0.1,15778.771698236,3761.35424163655,12017.4174565995,10052.7123296189,4261.4234215331,5791.28890808576,25831.4840278549,8022.77766316965,17808.7063646853,0.735833333333333,0.264166666666667,0,0.68583333333333,0.314166666666667,0,0.05,0.0499999999999999,0
"10",0.15,15827.9608495322,3771.24630934475,12056.7145401874,10081.6687741555,4290.37986607353,5791.28890808195,25909.6296236877,8061.62617541828,17848.0034482694,0.740833333333328,0.259166666666672,0,0.665833333333325,0.334166666666672,0,0.075,0.075,0
"11",0.235,15908.5877350284,3796.57995915901,12112.0077758694,10158.8859596002,4367.59705151471,5791.28890808548,26067.4736946286,8164.17701067372,17903.2966839549,0.754166666666667,0.245833333333333,0,0.636666666666664,0.363333333333333,0,0.1175,0.1175,0
"12",0.32,15985.2435286224,3817.74139667673,12167.5021319457,10226.4509968562,4435.16208877496,5791.28890808124,26211.6945254786,8252.90348545169,17958.7910400269,0.765833333333261,0.234166666666739,0,0.605833333333263,0.394166666666739,0,0.16,0.16,0
"13",0.405,16057.7121530155,3844.8007297156,12212.9114232999,10318.1464045727,4526.85749648712,5791.2889080856,26375.8585575882,8371.65822620272,18004.2003313855,0.781666666666674,0.218333333333326,0,0.579166666666674,0.420833333333326,0,0.2025,0.2025,0
"14",0.49,16126.4880497156,3862.34669418356,12264.141355532,10380.885367742,4589.59645965767,5791.2889080843,26507.3734174575,8451.94315384124,18055.4302636163,0.792499999999957,0.207500000000043,0,0.547499999999957,0.452500000000043,0,0.245,0.245,0
"15",0.575,16190.9628233899,3882.55985659053,12308.4029667993,10458.1025531823,4666.81364509889,5791.28890808341,26649.0653765722,8549.37350168942,18099.6918748827,0.805833333333288,0.194166666666713,0,0.518333333333288,0.481666666666713,0,0.2875,0.2875,0
"16",0.66,16250.0302706587,3901.31684008844,12348.7134305701,10535.3197386241,4744.0308305403,5791.28890808382,26785.3500092828,8645.34767062873,18140.0023386539,0.819166666666667,0.180833333333333,0,0.489166666666666,0.510833333333333,0,0.33,0.33,0
"17",0.745,16304.6433253146,3917.38905377371,12387.2542715407,10607.7108499757,4816.42194189137,5791.28890808438,26912.3541752904,8733.81099566508,18178.5431796251,0.831666666666667,0.168333333333333,0,0.459166666666667,0.540833333333333,0,0.3725,0.3725,0
"18",0.83,16355.3481022148,3934.40500840318,12420.9430938115,10689.7541095082,4898.46520142263,5791.28890808558,27045.102211723,8832.87020982581,18212.232001897,0.845833333333342,0.154166666666659,0,0.430833333333341,0.569166666666659,0,0.415,0.415,0
"19",0.915,16401.8883341213,3945.41047977624,12456.4778543449,10747.6669985892,4956.3780905034,5791.28890808576,27149.5553327104,8901.78857027963,18247.7667624307,0.855833333333332,0.144166666666668,0,0.398333333333331,0.601666666666667,0,0.4575,0.4575,0
"20",1,16444.2065994781,3957.06914692556,12487.1374525525,10815.2320358502,5023.9431277644,5791.28890808576,27259.4386353283,8981.01227468996,18278.4263606382,0.8675,0.132500000000001,0,0.367499999999998,0.6325,0,0.5,0.5,0
