"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","4","1","2","3","4","1","2","3","4"
"1",1e-06,13164.8227503371,2976.44465054389,10188.3780997933,8431.15143535485,3605.07734528339,4826.07409007147,21595.9741856919,6581.52199582728,15014.4521898648,0.575999999999999,0.170999999999999,0.253000000000001,0,0.5759995,0.170999999999998,0.253000500000001,0,5.00000000060358e-07,0,5.00000000082086e-07,0
"2",0.001,13165.6065087428,2976.44465054389,10189.161858199,8431.15143535485,3605.07734528339,4826.07409007147,21596.7579440977,6581.52199582728,15015.2359482705,0.575999999999999,0.170999999999999,0.253000000000001,0,0.5755,0.170999999999999,0.253500000000001,0,0.00050000000000007,0,0.000500000000000065,0
"3",0.01,13172.6610967404,2978.01301028794,10194.6480864526,8435.97750944476,3609.90341937346,4826.07409007131,21608.6386061852,6587.9164296614,15020.7221765239,0.577000000000002,0.171,0.251999999999998,0,0.572000000000002,0.171,0.256999999999998,0,0.00500000000000005,0,0.00500000000000003,0
"4",0.025,13184.3402736945,2983.08521153772,10201.2550621569,8440.80358353499,3614.72949346353,4826.07409007147,21625.1438572295,6597.81470500125,15027.3291522284,0.581,0.167999999999999,0.251000000000001,0,0.5685,0.167999999999999,0.263500000000001,0,0.0125000000000001,0,0.0125000000000002,0
"5",0.04,13195.9338203516,2988.50945929948,10207.4243610522,8450.4557317147,3624.38164164352,4826.07409007118,21646.3895520663,6612.891100943,15033.4984511234,0.585000000000001,0.165999999999996,0.249000000000003,0,0.565000000000001,0.165999999999997,0.269000000000003,0,0.02,0,0.0199999999999999,0
"6",0.055,13207.4443564537,2995.43792102822,10212.0064354255,8464.93395398526,3638.85986391389,4826.07409007138,21672.378310439,6634.29778494211,15038.0805254969,0.589999999999999,0.164,0.246,0,0.5625,0.164,0.2735,0,0.0274999999999999,0,0.0275000000000001,0
"7",0.07,13218.8789560129,3001.95236196659,10216.9265940463,8474.5861021655,3648.51201209403,4826.07409007147,21693.4650581784,6650.46437406062,15043.0006841178,0.595000000000001,0.160999999999999,0.244,0,0.56,0.160999999999999,0.279000000000001,0,0.0350000000000001,0,0.035,0
"8",0.085,13230.2087682768,3008.82268630009,10221.3860819767,8481.8252133006,3655.75112322914,4826.07409007147,21712.0339815774,6664.57380952922,15047.4601720482,0.600500000000001,0.157,0.242499999999999,0,0.558,0.157,0.285,0,0.0424999999999998,0,0.0425,0
"9",0.1,13241.4047693052,3016.3393947434,10225.0653745618,8498.71647261355,3672.64238254346,4826.07409007009,21740.1212419188,6688.98177728686,15051.1394646319,0.606000000000004,0.154999999999897,0.239000000000098,0,0.556000000000005,0.154999999999897,0.289000000000098,0,0.0500000000000003,0,0.0500000000000002,0
"10",0.15,13278.0307060186,3032.77483292373,10245.2558730949,8522.84684306621,3696.77275299474,4826.07409007147,21800.8775490848,6729.54758591847,15071.3299631663,0.619000000000001,0.146999999999999,0.234000000000001,0,0.544,0.146999999999999,0.309000000000001,0,0.0750000000000001,0,0.0750000000000001,0
"11",0.235,13337.7968665148,3069.13623819141,10268.6606283233,8597.65099146232,3771.57690139085,4826.07409007147,21935.4478579771,6840.71313958226,15094.7347183948,0.647500000000001,0.133999999999999,0.218500000000001,0,0.53,0.134,0.336000000000001,0,0.1175,0,0.1175,0
"12",0.32,13394.2445355469,3102.94503461526,10291.2995009315,8657.97691758821,3831.90282751674,4826.07409007147,22052.2214531351,6934.84786213201,15117.3735910029,0.676000000000001,0.118,0.206000000000002,0,0.515999999999999,0.118000000000001,0.366000000000001,0,0.16,0,0.16,0
"13",0.405,13446.8558947435,3133.62970951357,10313.2261852297,8711.063732579,3884.98964250753,4826.07409007147,22157.9196273225,7018.6193520211,15139.3002753012,0.703500000000001,0.101499999999999,0.195,0,0.501,0.1015,0.3975,0,0.2025,0,0.2025,0
"14",0.49,13495.454032108,3156.36880446293,10339.0852276448,8744.8462512088,3918.77216113803,4826.07409007077,22240.3002833168,7075.14096560096,15165.1593177156,0.725000000000008,0.0870000000000001,0.187999999999993,0,0.480000000000007,0.0869999999999999,0.432999999999993,0,0.245,0,0.245,0
"15",0.575,13540.612799411,3179.84557536029,10360.7672240504,8829.30254778575,4003.22845771429,4826.07409007147,22369.9153471967,7183.07403307458,15186.8413141219,0.747500000000001,0.0819999999999996,0.170499999999999,0,0.460000000000001,0.0820000000000005,0.458,0,0.2875,0,0.2875,0
"16",0.66,13582.43062281,3205.4031653577,10377.0274574522,8904.10669618186,4078.03260611039,4826.07409007147,22486.5373189919,7283.43577146809,15203.1015475237,0.774000000000003,0.0709999999999998,0.154999999999998,0,0.444000000000002,0.071,0.484999999999998,0,0.33,0,0.33,0
"17",0.745,13621.1962656319,3226.80814173913,10394.3881238926,8928.23706663221,4102.16297656075,4826.07409007147,22549.4333322641,7328.97111829988,15220.4622139641,0.797499999999998,0.0819999999999995,0.120499999999998,0,0.425000000000003,0.0819999999999986,0.492999999999998,0,0.3725,0,0.3725,0
"18",0.83,13658.1625734093,3242.91134907583,10415.2512243333,8942.71528890139,4116.64119883071,4826.07409007067,22600.8778623107,7359.55254790655,15241.325314404,0.816000000000008,0.105999999999997,0.077999999999998,0,0.401000000000006,0.105999999999996,0.492999999999998,0,0.415,0,0.415,0
"19",0.915,13693.6074749179,3260.90519036879,10432.7022845489,8986.14995571307,4160.0758656416,4826.07409007147,22679.757430631,7420.98105601039,15258.7763746203,0.837500000000006,0.126999999999999,0.035499999999998,0,0.380000000000003,0.126999999999999,0.492999999999998,0,0.4575,0,0.4575,0
"20",1,13727.6280161336,3281.33114506263,10446.2968710708,9005.45425207336,4179.38016200189,4826.07409007147,22733.082268207,7460.71130706452,15272.3709611422,0.863000000000007,0.136999999999997,0,0,0.363000000000004,0.144,0.492999999999998,0,0.5,0.00700000000000188,0.492999999999998,0
