"","c1","c2","c3","a1","a2","a3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2"
"1",1,1,1,1,2,1,0.05,2535.81370894201,654.854868276987,1880.95884066502,3534.44730133599,1618.75770711555,1915.68959422044,6070.261010278,2273.61257539254,3796.64843488546
"2",1,1,1,1,2,1,0.1,2539.87532537728,656.943344633153,1882.93198074413,3545.9414389018,1630.25184468129,1915.68959422051,6085.81676427908,2287.19518931445,3798.62157496463
"3",1,1,1,1,2,1,0.15,2543.73509088218,658.550067343613,1885.18502353858,3555.51988687342,1639.83029265283,1915.68959422059,6099.2549777556,2298.38035999644,3800.87461775917
"4",1,1,1,1,2,1,0.2,2547.41388998347,660.583639653347,1886.83025033013,3572.76109322141,1657.07149900081,1915.68959422059,6120.17498320488,2317.65513865416,3802.51984455072
"5",1,1,1,1,2,1,0.25,2550.88651691969,662.319467607037,1888.56704931266,3582.33954119251,1666.64994697192,1915.68959422059,6133.22605811219,2328.96941457895,3804.25664353326
"6",1,1,1,1,2,1,0.3,2554.15380050934,664.205839173593,1889.94796133575,3591.91798916361,1676.22839494302,1915.68959422059,6146.07178967295,2340.43423411661,3805.63755555634
"7",1,1,1,1,2,1,0.35,2557.23295253683,666.292701559654,1890.94025097718,3609.1591955106,1693.46960129059,1915.68959422001,6166.39214804743,2359.76230285025,3806.62984519719
"8",1,1,1,1,2,1,0.4,2560.10781527217,668.123791049891,1891.98402422228,3614.90626429375,1699.21667007357,1915.68959422017,6175.01407956592,2367.34046112346,3807.67361844245
"9",1,1,1,1,2,1,0.45,2562.76586648045,669.495010455717,1893.27085602473,3632.14747064224,1716.45787642165,1915.68959422059,6194.91333712269,2385.95288687737,3808.96045024532
"10",1,1,1,1,2,1,0.5,2565.22284336832,670.964918127137,1894.25792524118,3645.55729780164,1729.86770358115,1915.68959422049,6210.78014116996,2400.83262170829,3809.94751946167
"11",1,1,1,1,2,1,0.55,2567.59680787791,671.817174163824,1895.77963371407,3647.47298739599,1731.7833931754,1915.68959422059,6215.0697952739,2403.60056733922,3811.46922793466
"12",1,1,1,1,2,1,0.6,2569.90166960688,673.022262890252,1896.87940671663,3651.30436658445,1735.61477236386,1915.68959422059,6221.20603619133,2408.63703525411,3812.56900093722
"13",1,1,1,1,2,1,0.65,2572.11358523478,674.260751133777,1897.85283410099,3653.22005617867,1737.53046195808,1915.68959422059,6225.33364141345,2411.79121309186,3813.54242832158
"14",1,1,1,1,2,1,0.7,2574.23672921377,675.53240309261,1898.70432612114,3657.05143536604,1741.3618411462,1915.68959421985,6231.28816457981,2416.89424423881,3814.39392034098
"15",1,1,1,1,2,1,0.75,2576.24047645273,676.726541650171,1899.51393480254,3662.79850414942,1747.10890992916,1915.68959422026,6239.03898060214,2423.83545157933,3815.2035290228
"16",1,1,1,1,2,1,0.8,2578.15904559692,677.95759846308,1900.20144713382,3670.46126252652,1754.77166830606,1915.68959422045,6248.62030812344,2432.72926676914,3815.89104135427
"17",1,1,1,1,2,1,0.85,2579.97371275434,678.834180743168,1901.13953201114,3681.95540009171,1766.26580587139,1915.68959422032,6261.92911284604,2445.09998661455,3816.82912623147
"18",1,1,1,1,2,1,0.9,2581.65644169762,679.100150103806,1902.5562915938,3689.61815846686,1773.92856424829,1915.68959421858,6271.27460016449,2453.0287143521,3818.24588581238
"19",1,1,1,1,2,1,0.95,2583.20490279767,679.470785254812,1903.73411754285,3701.11229603208,1785.42270181357,1915.68959421851,6284.31719882975,2464.89348706838,3819.42371176135
"20",1,1,1,1,2,1,1,2584.63919770028,679.817680727458,1904.82151697281,3712.60643359759,1796.91683937892,1915.68959421868,6297.24563129787,2476.73452010637,3820.51111119149
